Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm",109.118400,-119.452400,90.000000,top
"C7","22uF","CP_Elec_5x5.4",144.246600,-80.492600,-90.000000,top
"D7","3V3","LED_0402_1005Metric",120.319800,-125.930200,90.000000,top
"D8","5V","LED_0402_1005Metric",123.520200,-125.907800,90.000000,top
"D9","12V","LED_0402_1005Metric",127.254000,-125.905400,90.000000,top
"D10","MA","LED_0402_1005Metric",136.245600,-91.630500,-90.000000,top
"D11","MC","LED_0402_1005Metric",137.666200,-122.215300,-90.000000,top
"D12","MA","LED_0402_1005Metric",123.342400,-118.799000,-90.000000,top
"D13","MA","LED_0402_1005Metric",144.449800,-133.616700,-90.000000,top
"J1","LIMIT SWITCHES","TerminalBlock_bornier-3_P5.08mm",91.520000,-89.001600,90.000000,top
"J2","LLAVE","TerminalBlock_bornier-3_P5.08mm",91.465400,-109.648000,90.000000,top
"J3","Screw_Terminal_01x03","TerminalBlock_bornier-3_P5.08mm",91.520000,-120.138200,-90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",103.221800,-131.593600,0.000000,top
"J5","Screw_Terminal_01x04","TerminalBlock_bornier-4_P5.08mm",134.032000,-131.593600,180.000000,top
"J6","MOTOR","TerminalBlock_bornier-2_P5.08mm",151.587200,-80.340200,0.000000,top
"J7","LAMP","TerminalBlock_bornier-2_P5.08mm",157.175200,-131.318000,180.000000,top
"K1","FINDER-36.11","Relay_SPDT_Finder_36.11",143.761600,-103.087500,90.000000,top
"K2","FINDER-36.11","Relay_SPDT_Finder_36.11",143.891000,-122.337600,90.000000,top
"R1","1k","R_0402_1005Metric",107.619800,-76.592400,180.000000,top
"R2","1k","R_0402_1005Metric",107.621800,-85.736400,180.000000,top
"R3","1k","R_0402_1005Metric",107.619800,-92.772200,180.000000,top
"R4","1k","R_0402_1005Metric",107.647800,-81.875600,180.000000,top
"R5","1k","R_0402_1005Metric",107.621800,-89.292400,180.000000,top
"R6","1k","R_0402_1005Metric",107.619800,-74.052400,180.000000,top
"R7","220","R_0402_1005Metric",118.745000,-125.956600,-90.000000,top
"R8","220","R_0402_1005Metric",122.123200,-125.907800,-90.000000,top
"R9","220","R_0402_1005Metric",125.450600,-125.931800,-90.000000,top
"R11","220","R_0402_1005Metric",134.366000,-91.605100,90.000000,top
"R15","100k","C_0402_1005Metric",133.934200,-99.568000,0.000000,top
"R16","20k","C_0402_1005Metric",136.753600,-99.568000,0.000000,top
"R17","0.1","R_2512_6332Metric",135.204200,-95.834200,0.000000,top
"R18","220","R_0402_1005Metric",135.761200,-122.199400,90.000000,top
"R19","220","R_0402_1005Metric",121.437400,-118.808500,90.000000,top
"R20","220","R_0402_1005Metric",142.494000,-133.591300,90.000000,top
"SW1","SW_DIP_x04","SW_DIP_SPSTx04_Slide_KingTek_DSHP04TS_W7.62mm_P1.27mm",135.813800,-80.899000,-90.000000,top
"U1","ESP32-DEVKITC","MODULE_ESP32-DEVKITC",102.880800,-102.222400,0.000000,top
"U2","MMUN2233LT1G","SOT-23-3_1P4X3P040_ONS-L",135.331200,-87.858600,0.000000,top
"U3","LM358","lm358",135.305800,-103.733600,0.000000,top
"U4","MMUN2233LT1G","SOT-23-3_1P4X3P040_ONS-L",122.402600,-115.417600,0.000000,top
"U5","MMUN2233LT1G","SOT-23-3_1P4X3P040_ONS-L",143.459200,-129.590800,0.000000,top
"U6","MMUN2233LT1G","SOT-23-3_1P4X3P040_ONS-L",136.726400,-118.618900,0.000000,top
